ID,name,text,act_type,act_age
cooking_with_maths,Cooking with Maths,"Cooking can help your child start learning maths!
💚 Invite your child to help you cook for your family, or to choose something they would like to cook
;
🍅 Ask your child to count different ingredients. Help them if it’s difficult!

🔟 Help your child to understand adding and subtracting quantities 

📝 Encourage your child to recognise numbers on packaging

 👀 Ask your child about the different sizes of ingredients - e.g. which is bigger/biggest?
;
🔄 Think about when you will cook together again! You can also practise understanding numbers and quantities during other activities like shopping or building/making things",Active,3| 4 | 5 | 6
follow_instructions,Following Instructions,"👂 Play a game in which your child listens to and tries to remember strings of instructions.
This will be useful in school, at home, and later in life!
;
Start with just one instruction using an object in your home. For example “touch the red ball” 🔴

Slowly add more instructions (e.g “then pick up the cup ☕), but tell your child that they can only start once you’ve finished giving the instructions.
See how many your child can follow without forgetting!
;
🔄 Now swap roles! It’s your child’s turn to give you instructions! They can use the same objects if they want.
You can also try this game with a group of children! Make sure they take turns :)",Calm | Quick | Group,3 | 4 | 5
one_on_one_time,One-on-One Time,"💚 Spending time just with your child and taking an interest in them can improve your relationship 

;
👀 When you child is playing alone or occupying themselves quietly, join them and show interest in what they are doing

👂Ask questions about their activity, and listen to them

Let your child lead the activity, follow them to build their confidence and autonomy 😃

👀 Say what you see - describing everything and supporting your child’s actions
;
Be positive, praise your child, and enjoy spending this time with them 😃💚",Calm,2| 3 | 4 | 5 | 6 | 7 | 8 | 9
play_books_4to6,Playtime with Books,"📖 Book sharing will help your child learn and is a fun, playful activity to spend quality time together

⏰ Choose a time when you won’t be disturbed, and try to stop any distractions - e.g. turn off the TV and put away phones

📖 If your child wants to choose a book, that’s fine, otherwise choose for them
;

💚 Sit close together and follow your child attention and lead 
Point at things, name and repeat words. Help your child learn more about what interests them in the book 👀 
If there are words or numbers in the book, ask and help your child recognise letters numbers, and simple words 💡 

Link things in the books to your child life, and use words about emotions and talk about them! 😃
;
🔄 If possible, start a regular routine to read together when your child isn’t too tired or hungry
Reading together is one of the best ways to help your child learn and prepare for success in school! 🎓",Calm,4 | 5 | 6 
play_books_2to3,Playtime with Books,"📖 Book sharing will help your child learn and is a fun, playful activity to spend quality time together

⏰ Choose a time when you won’t be disturbed, and try to stop any distractions - e.g. turn off the TV and put away phones

📖 If your child wants to choose a book, that’s fine, otherwise choose for them
;

💚 Sit close together and follow your child attention and lead 
Point at things, name and repeat words. Help your child learn more about what interests them in the book 👀 

Link things in the books to your child's life, and use words about emotions and talk about them! 😃
;
🔄 If possible, start a regular routine to read together when your child isn’t too tired or hungry
Reading together is one of the best ways to help your child learn and prepare for success in school! 🎓",Calm,2 | 3 |
i_spy,I Spy!,"👀 I spy is a fun game to play with your child that will help them learn about letters and words!
;

Choose an object or a thing around you, and don’t tell your child what it is. It should be something that your child knows the word for. For example “ball” ⚽

👀 Then say “I spy with my little eye, something beginning with *and then say the first letter of the word* which in this case is “b”

Your child should look around and guess what the object is. When they guess it right, praise them and swap roles! If they can’t get it, give them some clues, like “it’s round” or “it’s black and white”. ✅
;

Play this game with as many objects as possible and as many different letters! Help your child to learn about the different letters and sounds in words. This will help them learn to read at home and school. 🎓",Calm | Quick | Group,4 | 5 | 6 | 7 | 8 | 9
categorise_organise,Categorising and Organising,"Help your child to learn by sorting objects and things! 🔵🔷

Your child will learn by understanding how things fit and group together (eg, bear = animal, mango = fruit, blue = colour) 🧸

Find a book with different pictures and help your child to find things in a particular category (e.g. “Find all of the animals”) 👀

Find safe objects in the house, get your child to group them by colour, size, or types of object (cups, plates). Then make more complicated categories (e.g. small cups, big cups) ☕
;
🔄 You can play the categorising game anywhere! Just look around and ask your child to find things from the category you say!",Quick | Group,2 | 3 | 4 | 5
what_letter_is_this,What Letter is This?,"Playing games with letters can help your child learn the alphabet and how letters are put together to make words.

📝 Write a letter on a piece of card or paper (e.g. “p”)

👂 Say the letter out loud and ask your child to say it too!

Ask your child to say some words that begin with the letter “p”, give them clues like “What starts with “p”? Plant… what else? 🌱

👀 Ask your child to look for objects in your house that begin with a letter (eg “p” for plate). Help them find things.
;
🔄 Try a new letter every day!",Quick | Group,3 | 4 | 5
riddles,Riddles Help Children Learn,"Riddles and puzzles are a fun way to build thinking skills! 💡
;

Do you remember any riddles from your childhood? If you can’t then make one up, they can be very simple! 😃
Like “What can you see at night but not in the day” Answer: “The moon” 🌙

If your child is finding them difficult, try an easy one like: “What is round, bouncy and can be thrown or kicked?” Answer: “A ball” ⚽

Your child can also try making riddles! 💡
;
You can have fun with riddles anywhere at any time - like travelling on a bus or in a car 🚗",Quick | Group | Calm,3 | 4 | 5 | 6 | 7 | 8 | 9
whats_new_child,What's New?,"Learning is fun! 🎓

❓ Ask your child to think of a new, fun skill you could learn together. 
For example: keeping a ball in the air with your foot, juggling, making soup, moonwalking, whistling, saying the alphabet backwards, learning all the states in Malaysia. 

🔄 Take turns trying out the new skill. Make sure to praise each other and learn and play together!

💛 Approach learning the skill in a kind and fun way, and do not judge your child or yourself for your ability in the skill. 

😃 Once you have mastered the skill, choose another skill to learn together.",Active,5| 6 | 7 | 8 | 9
